TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019534.9364,415.471,804.468,407.48,472.5,-2091.25,-218.75,852.72,-642.96,-345.04
2019534.9864,416.813,805.688,402.417,586.25,-1741.25,-507.5,840.56,-638.4,-346.56
2019535.0364,414.434,808.921,400.77,656.25,-1321.25,-516.25,854.24,-646.0,-320.72
2019535.0864,410.225,810.385,401.258,446.25,-1400.0,-822.5,849.68,-636.88,-340.48
2019535.1364,409.676,806.847,401.563,315.0,-1758.75,-910.0,851.2,-644.48,-343.52
2019535.1864,410.469,814.106,399.306,-490.0,-1942.5,-1338.75,860.32,-644.48,-320.72
2019535.2363,408.517,814.35,401.197,-848.75,-2380.0,-1487.5,828.4,-636.88,-331.36
2019535.2864,413.153,805.444,406.443,-385.0,-2353.75,-218.75,848.16,-642.96,-332.88
2019535.3364,417.789,808.189,402.6,603.75,-831.25,-262.5,864.88,-639.92,-332.88
2019535.3864,409.066,810.08,400.892,288.75,-437.5,-341.25,839.04,-638.4,-329.84
2019535.4364,406.26,810.934,401.38,-175.0,-1242.5,-586.25,840.56,-641.44,-340.48
2019535.4864,407.541,807.884,400.953,-131.25,-1837.5,-787.5,839.04,-623.2,-322.24
2019535.5364,407.846,809.714,401.197,-367.5,-1601.25,-1181.25,832.96,-624.72,-346.56
2019535.5864,408.151,811.056,406.565,-376.25,-1662.5,-166.25,854.24,-641.44,-355.68
2019535.6363,410.408,809.47,405.711,-455.0,-1531.25,-463.75,848.16,-644.48,-361.76
2019535.6864,409.615,806.481,404.979,-315.0,-1172.5,-560.0,837.52,-638.4,-345.04
2019535.7363,404.796,810.019,404.369,8.75,-1032.5,-848.75,857.28,-633.84,-325.28
2019535.7864,402.051,814.106,403.332,-166.25,-1610.0,-297.5,848.16,-627.76,-325.28
2019535.8364,407.724,806.42,407.907,-428.75,-1601.25,603.75,842.08,-635.36,-348.08
2019535.8864,412.36,805.688,405.345,490.0,-997.5,752.5,839.04,-635.36,-332.88
2019535.9364,415.288,813.313,404.186,253.75,-420.0,-218.75,851.2,-639.92,-348.08
2019535.9864,403.881,811.849,406.382,-35.0,-490.0,-1802.5,854.24,-642.96,-357.2
2019536.0364,395.463,812.764,411.14,-735.0,-2887.5,-1207.5,860.32,-632.32,-340.48
2019536.0864,401.014,808.738,405.955,-507.5,-3412.5,-988.75,836.0,-627.76,-322.24
2019536.1363,409.127,808.982,404.857,-507.5,-2170.0,35.0,842.08,-629.28,-337.44
